Project ID,Project Name,Team Name,Team ID,Bug Behavior,Backlog Iteration,Default Iteration,Backlog Levels Visible,Area Paths,Board Names,Work Item Count (areas total),Match Reason
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,Technical Writers,2ac685d4-e0dc-423f-ad01-9c133caf2020,With Stories,,,Features; Stories,Active Roles\Business\Documentation; Active Roles\Server\Documentation,Backlog items; Epics; Features; Initiatives,,team_name ~ (?i)Technical[\s_]Writer
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Technical Writers,428f618c-fb7d-4855-b0c6-ae866f1c29fe,With Stories,,,Features; Stories,Authentication Services\Technical writers,Backlog items; Epics; Features,,team_name ~ (?i)Technical[\s_]Writer
248abdcd-b303-4482-9547-34b7ce23ca6b,Defender,TechComm,16b91818-4d55-47a7-a44c-5fa319703e00,With Stories,,\Sprint 267,Features; Stories,Defender\AD FS Adapter\Documentation; Defender\Defender Core\Documentation; Defender\Documentation,Backlog items; Epics; Features; Initiatives,,team_name ~ (?i)TechComm
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,TechComm Modules,9e1ff299-2167-4d6e-b258-16a91d5a5af4,With Stories,\Connector Modules,\Connector Modules\Sprint 267,Features; Stories,Identity Manager\Identity Manager Core\Documentation; Identity Manager\Identity Manager Web\Documentation,Backlog items; Epics; Features,,team_name ~ (?i)TechComm
36120c88-f17e-4f1d-b34d-6e98e30c1fe9,Identity Manager,Tech Comm,05e4e42d-a9a1-4fe7-8091-8ad74d5e14d2,With Stories,,\Web,Features; Stories,Identity Manager\Identity Manager Core\Documentation; Identity Manager\Identity Manager Web\Documentation,Backlog items; Epics; Features,,team_name ~ (?i)Tech[\s_]Comm
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,DOC-syslog-ng new,de303be4-d7dc-423d-902b-41ec51aebdba,With Stories,,\Documentation\DOC-26-S06,Features; Stories,Log Management\Documentation\DOC-syslog-ng Open Source Edition; Log Management\Documentation\DOC-syslog-ng Premium Edition; Log Management\Documentation\DOC-syslog-ng Store Box; Log Management\Documentation\syslog-ng new,Backlog items; Epics; Features,,team_name ~ (?i)DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,DOC-syslog-ng Open Source Edition,7bd62699-4653-42e2-9b75-50e9c0fd4177,With Stories,,\Documentation\DOC-23-S01,Features; Stories,Log Management\Documentation\DOC-syslog-ng Open Source Edition; Log Management\Documentation\DOC-syslog-ng Premium Edition; Log Management\Documentation\DOC-syslog-ng Store Box; Log Management\Documentation\syslog-ng new,Backlog items; Epics; Features,,team_name ~ (?i)DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,DOC-syslog-ng Premium Edition,ea45b3c0-36b9-4826-88a6-b90f258455de,With Stories,,\Documentation,Features; Stories,Log Management\Documentation\DOC-syslog-ng Open Source Edition; Log Management\Documentation\DOC-syslog-ng Premium Edition; Log Management\Documentation\DOC-syslog-ng Store Box; Log Management\Documentation\syslog-ng new,Backlog items; Epics; Features,,team_name ~ (?i)DOC-
68897d9b-7c56-465f-a3c3-169ca85cb20d,Log Management,DOC-syslog-ng Store Box,8893f1b4-e8df-4085-b0b3-449cc5263332,With Stories,,\Documentation,Features; Stories,Log Management\Documentation\DOC-syslog-ng Open Source Edition; Log Management\Documentation\DOC-syslog-ng Premium Edition; Log Management\Documentation\DOC-syslog-ng Store Box; Log Management\Documentation\syslog-ng new,Backlog items; Epics; Features,,team_name ~ (?i)DOC-
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,TechComm Admin,8d02907e-10c5-444e-801b-4de7026ace30,With Tasks,,,Features; Stories,OID\Engineering\OneLogin\OL Archive\TechComm; OID\Engineering\OneLogin\TechComm; OID\TechComm,Epics; Features; Initiatives; Stories,,team_name ~ (?i)TechComm
a4c3e342-aef6-43ce-930a-fdf688dd1ed6,OID,TechComm Writers,ea40545d-d8bc-45ac-86ff-051d1e5d5098,With Stories,,\Migrated\Starling\Sprint 265,Features; Stories,OID\Engineering\OneLogin\OL Archive\TechComm; OID\Engineering\OneLogin\TechComm; OID\TechComm,Epics; Features; Initiatives; Stories,,team_name ~ (?i)TechComm
5a22f4ee-a858-4a58-8fdb-b43b0f7a67b8,OneLogin,Technical Writers,9e0a3bb0-91d7-4215-ae34-eded7b3cd6b6,With Stories,\TechComm,\TechComm,Features; Stories,OneLogin\Documentation,Backlog items; Epics; Features; Initiatives,,team_name ~ (?i)Technical[\s_]Writer
3e10c9c7-d146-4505-bf4f-e554c5046abc,Password Manager,Technical Writers,46df2829-fa12-4cad-94ba-62c0ea59b0b9,With Stories,\Documentation,\Documentation,Features; Stories,Password Manager\Documentation,Backlog items; Epics; Features; Initiatives,,team_name ~ (?i)Technical[\s_]Writer
d7842b0c-84f2-49a0-a442-c9738633e80e,Privilege Manager,Technical Writers,216ca0c7-64cb-43c2-8e50-01e65a4ec9d2,With Stories,,,Features; Stories,Privilege Manager\Technical Writer,Backlog items; Epics; Features,,team_name ~ (?i)Technical[\s_]Writer
37db689c-f8ee-4fa2-820e-3eefa59af7ee,Privilege Manager for Windows,Technical Writers,80bb5811-a39f-4dd9-beca-b6567f0de764,With Stories,,\2026\2026.03 Sprint2,Features; Stories,Privilege Manager for Windows\Technical Writers,Backlog items; Epics; Features,,team_name ~ (?i)Technical[\s_]Writer
190431ef-1ebe-42d8-be88-778348564c8c,Safeguard Privileged Passwords,Technical Writers,f7876e1a-39c5-467d-9330-f0d6c353a54f,With Stories,\Documentation,\Documentation,Features; Stories,Safeguard Privileged Passwords\Documentation,Backlog items; Epics; Features,,team_name ~ (?i)Technical[\s_]Writer
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Documentation bug backlog,3fc3fdef-98ee-4db6-81ea-a0ab68855fd7,With Stories,,,Features; Stories,SPS\TC\Bug backlog; SPS\TC\Documentation,Backlog items; Epics; Features,,team_name ~ (?i)\bDocumentation\b
a1a8003e-d7eb-488b-b6b6-9f989b889636,SPS,Documentation,efdac06d-01f8-4dcb-9305-db3690a992d8,With Stories,\Documentation,\Documentation,Features; Stories,SPS\TC\Bug backlog; SPS\TC\Documentation,Backlog items; Epics; Features,,team_name ~ (?i)\bDocumentation\b
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,TechComm Team,bf0885ba-dd19-4c18-ab74-1118ff449187,With Stories,,,Features; Stories,Starling\Archive\2FA\2FA AD FS Adapter\Tech Comm; Starling\Archive\2FA\2FA Core\Tech Comm; Starling\Archive\2FA\2FA Desktop Login\Tech Comm; Starling\Archive\2FA\2FA HTTP Module\Tech Comm; Starling\Archive\2FA\2FA RADIUS Agent\Tech Comm; Starling\Archive\CertAccess\Tech Comm; Starling\Archive\On Demand\Active Roles\Tech Comm; Starling\Archive\On Demand\Password Manager\Tech Comm; Starling\Cloud Assistant\Tech Comm; Starling\Connect Connectors\Tech Comm; Starling\Connect Core\Tech Comm; Starling\EPM\Tech Comm; Starling\Identity Essentials\Tech Comm; Starling\Identity Manager on Demand\Tech Comm; Starling\OneIdentityCloud\Tech Comm; Starling\PAM\Tech Comm; Starling\Platform\Tech Comm; Starling\Safeguard On Demand\Tech Comm; Starling\Safeguard Remote Access\Tech Comm; Starling\Tech Comm,Backlog items; Epics; Features; Initiatives,,team_name ~ (?i)TechComm
c7aa2319-b458-4975-9827-191f86a39ad5,TechComm,TechComm Team,022edf16-b018-42a3-ad46-f340b6429198,With Stories,,,Epics; Features; Stories,TechComm; TechComm\AI; TechComm\Automation Request; TechComm\Editor Request; TechComm\Flare Template Request; TechComm\Graphics Request; TechComm\Multi-Product Requests; TechComm\Style Guide Request; TechComm\Zoomin,Backlog items; Epics; Features,,full_project
